"file_name","file_path","title","authors","year","journal_or_source","doi","document_type","detected_keywords","matched_direction","relevance_to_project","sci_mainstream_status","use_recommendation","notes"
"Flexural performance of pretensioned centrifugal spun concrete piles with.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Flexural performance of pretensioned centrifugal spun concrete piles with.pdf","Flexural performance of pretensioned centrifugal spun concrete piles with combined steel strands and reinforcing bars","unclear","2021","Structures","10.1016/j.istruc.2021.10.052","journal article PDF","pretensioned;centrifugal spun concrete piles;flexural performance","B","Medium; direct centrifugal pile background, not E+D+A core","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可用于 B 方向背景，不建议作为碳化固废主线核心文献。"
"Mix preparation for higher strength concretes for transport infrastructure.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Mix preparation for higher strength concretes for transport infrastructure.pdf","Mix preparation for higher strength concretes for transport infrastructure","unclear","unclear","unclear","unclear","PDF","higher strength concrete;mix preparation;transport infrastructure","Other","Low; generic concrete mix background only","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","题录信息不足且与当前主线耦合弱。"
"Reaction between CO2 and CaO under dry grinding.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Reaction between CO2 and CaO under dry grinding.pdf","Reaction between CO2 and CaO under dry grinding","unclear","2009","Powder Technology","10.1016/j.powtec.2009.07.014","journal article PDF","CO2;CaO;dry grinding;carbonation;powder","A","Medium-to-high; supports mechanochemical/strengthened carbonation mechanism, but not concrete material directly","需人工通过 Web of Science / JCR / 中科院分区核验","核心必读","可作为 A 方向等效强化碳化机制背景；需确认实验体系与固废 SCM 的可迁移性。"
"Seismic performance of high-strength centrifugally prefabricated RC hollow pipe columns using grouted bellows connection.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Seismic performance of high-strength centrifugally prefabricated RC hollow pipe columns using grouted bellows connection.pdf","Seismic performance of high-strength centrifugally prefabricated RC hollow pipe columns using grouted bellows connection","unclear","2022","Engineering Structures","10.1016/j.engstruct.2022.115257","journal article PDF","centrifugally prefabricated;RC hollow pipe columns;seismic performance","B","Medium for B background; low for E+D+A mainline","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","结构抗震应用文献，不作为当前材料碳化主线核心。"
"城市固体废弃物填埋场环境土力学研究进展_陈云敏.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\城市固体废弃物填埋场环境土力学研究进展_陈云敏.pdf","城市固体废弃物填埋场环境土力学研究进展","陈云敏","unclear","unclear","unclear","Chinese PDF","城市固体废弃物;填埋场;环境土力学","E","Low-to-medium; solid waste background but not cementitious carbonation evidence","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可作为固废背景资料；需人工确认来源、年份和是否与胶凝材料相关。"
"新疆吉林台混凝土面板堆石坝离心模型试验研究_王年香.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\新疆吉林台混凝土面板堆石坝离心模型试验研究_王年香.pdf","新疆吉林台混凝土面板堆石坝离心模型试验研究","王年香","2016","unclear","unclear","Chinese PDF","离心模型试验;混凝土面板堆石坝","C","Low; centrifuge model background but not cementitious materials mainline","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","偏坝工离心模型试验，建议不进入开题核心。"
"浅谈管桩离心时间对混凝土强度的影响_盛晓宁.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\浅谈管桩离心时间对混凝土强度的影响_盛晓宁.pdf","浅谈管桩离心时间对混凝土强度的影响","盛晓宁","unclear","unclear","unclear","Chinese PDF","管桩;离心时间;混凝土强度","B","Medium; directly about pile centrifugal process and strength, but likely engineering/practice source","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可作为中文工程背景；需人工确认来源级别和年份。"
"甘肃九甸峡水电站混凝土面板堆石坝离心模拟试验研究_张延亿.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\甘肃九甸峡水电站混凝土面板堆石坝离心模拟试验研究_张延亿.pdf","甘肃九甸峡水电站混凝土面板堆石坝离心模拟试验研究","张延亿","unclear","unclear","unclear","Chinese PDF","离心模拟试验;混凝土面板堆石坝;水电站","C","Low; geotechnical/engineering model background, not materials-carbonation mainline","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","偏坝工离心模拟试验，建议暂不用于当前主线。"
"离心钢管混凝土材料特性数值分析_曲晨.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\离心钢管混凝土材料特性数值分析_曲晨.pdf","离心钢管混凝土材料特性数值分析","曲晨","unclear","unclear","unclear","Chinese PDF","离心钢管混凝土;材料特性;数值分析","B","Medium; supports B direction background and material-property discussion","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可用于说明离心钢管混凝土研究范围；需人工确认来源级别。"
"离心钢管混凝土粘结-滑移本构关系理论分析_袁伟斌.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\离心钢管混凝土粘结-滑移本构关系理论分析_袁伟斌.pdf","离心钢管混凝土粘结-滑移本构关系理论分析","袁伟斌","unclear","unclear","unclear","Chinese PDF","离心钢管混凝土;粘结-滑移;本构关系","B","Medium; supports B direction background, not carbonated SCM","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","偏结构/本构分析，适合作背景，不作为 E+D+A 核心。"
"薄壁离心钢管混凝土构件抗扭试验研究_金伟良.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\薄壁离心钢管混凝土构件抗扭试验研究_金伟良.pdf","薄壁离心钢管混凝土构件抗扭试验研究","金伟良","unclear","unclear","unclear","Chinese PDF","薄壁;离心钢管混凝土;抗扭试验","B","Medium; supports B direction structural testing background","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","与英文 Thin-Walled Structures 抗扭文献主题接近；需人工确认是否同源/重复。"
"超重力高温高压实验与超重力高温高压实验装置_励音骐.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\超重力高温高压实验与超重力高温高压实验装置_励音骐.pdf","超重力高温高压实验与超重力高温高压实验装置","励音骐","unclear","unclear","unclear","Chinese PDF","超重力;高温高压;实验装置","A","Low-to-medium; supports hypergravity equipment background, not concrete/carbonation directly","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可作为超重力设备背景；需确认与混凝土/碳化是否可连接。"
