"file_name","journal_or_source","matched_direction","scie_status","impact_factor_or_note","citescore_or_note","mainstream_relevance","project_relevance","verification_source"
"Flexural performance of pretensioned centrifugal spun concrete piles with.pdf","Structures","B","SCIE verified from journal page","Impact Factor 4.3","CiteScore 6.5","Mainstream SCIE structural engineering journal","B pile background; low E+D+A relevance","https://www.sciencedirect.com/journal/structures/about/insights"
"Mix preparation for higher strength concretes for transport infrastructure.pdf","unclear","Other","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","Low project relevance; needs manual bibliographic identification","需人工通过 Web of Science / JCR / 中科院分区核验"
"Reaction between CO2 and CaO under dry grinding.pdf","Powder Technology","A","SCIE verified from journal page","Impact Factor 4.6","CiteScore 9.0","Mainstream SCIE powder/particle technology journal","High local value for A equivalent intensified carbonation mechanism; not direct concrete evidence","https://www.sciencedirect.com/journal/powder-technology/about/insights"
"Seismic performance of high-strength centrifugally prefabricated RC hollow pipe columns using grouted bellows connection.pdf","Engineering Structures","B","SCIE verified from journal page","Impact Factor 6.4","CiteScore 11.2","Mainstream SCIE structural engineering journal","B structural background; low E+D+A relevance","https://www.sciencedirect.com/journal/engineering-structures/about/insights"
"城市固体废弃物填埋场环境土力学研究进展_陈云敏.pdf","unclear","E","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","Possible solid-waste background; not cementitious carbonation evidence","需人工通过 Web of Science / JCR / 中科院分区核验"
"新疆吉林台混凝土面板堆石坝离心模型试验研究_王年香.pdf","unclear","C","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","Low E+D+A relevance; centrifuge model/dam background","需人工通过 Web of Science / JCR / 中科院分区核验"
"浅谈管桩离心时间对混凝土强度的影响_盛晓宁.pdf","unclear","B","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","B Chinese engineering background; source level needs manual check","需人工通过 Web of Science / JCR / 中科院分区核验"
"甘肃九甸峡水电站混凝土面板堆石坝离心模拟试验研究_张延亿.pdf","unclear","C","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","Low E+D+A relevance; centrifuge model/dam background","需人工通过 Web of Science / JCR / 中科院分区核验"
"离心钢管混凝土材料特性数值分析_曲晨.pdf","unclear","B","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","B Chinese structural/material background; source level needs manual check","需人工通过 Web of Science / JCR / 中科院分区核验"
"离心钢管混凝土粘结-滑移本构关系理论分析_袁伟斌.pdf","unclear","B","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","B Chinese structural background; source level needs manual check","需人工通过 Web of Science / JCR / 中科院分区核验"
"薄壁离心钢管混凝土构件抗扭试验研究_金伟良.pdf","unclear","B","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","B Chinese structural background; may overlap with Thin-Walled Structures topic","需人工通过 Web of Science / JCR / 中科院分区核验"
"超重力高温高压实验与超重力高温高压实验装置_励音骐.pdf","unclear","A","Unverified","unclear","unclear","Cannot confirm SCI/mainstream status from filename metadata","A equipment background only; needs source-level verification","需人工通过 Web of Science / JCR / 中科院分区核验"
